contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL251226C00170000,2025-11-20 16:37:15+00:00,170.0,102.53,104.7,108.5,0.0,0.0,,1,0.8642591699218749,True,REGULAR,USD
AAPL251226C00185000,2025-11-21 14:49:06+00:00,185.0,85.28,89.8,93.5,0.0,0.0,1.0,2,0.7414576635742187,True,REGULAR,USD
AAPL251226C00190000,2025-11-21 18:27:40+00:00,190.0,81.7,84.85,88.15,0.0,0.0,16.0,22,0.6706575903320313,True,REGULAR,USD
AAPL251226C00195000,2025-11-21 14:56:09+00:00,195.0,74.52,79.85,83.2,0.0,0.0,15.0,17,0.6352575537109376,True,REGULAR,USD
AAPL251226C00200000,2025-11-07 14:40:40+00:00,200.0,70.52,75.5,77.4,0.0,0.0,2.0,2,0.5815471533203125,True,REGULAR,USD
AAPL251226C00205000,2025-11-21 18:12:02+00:00,205.0,67.1,70.1,73.1,0.0,0.0,3.0,3,0.5688519677734375,True,REGULAR,USD
AAPL251226C00210000,2025-11-20 20:53:01+00:00,210.0,57.52,65.2,67.15,0.0,0.0,3.0,5,0.5996133789062501,True,REGULAR,USD
AAPL251226C00215000,2025-11-21 19:07:02+00:00,215.0,58.6,60.05,63.4,0.0,0.0,4.0,10,0.508793974609375,True,REGULAR,USD
AAPL251226C00220000,2025-11-21 14:45:23+00:00,220.0,57.0,55.7,57.7,6.700001,13.320081,2.0,39,0.5656781713867188,True,REGULAR,USD
AAPL251226C00225000,2025-11-21 17:49:51+00:00,225.0,47.57,50.5,52.5,0.0,0.0,1.0,34,0.5059863854980469,True,REGULAR,USD
AAPL251226C00230000,2025-11-24 20:57:47+00:00,230.0,47.42,46.25,48.6,2.9199982,6.561794,23.0,32,0.5395553857421876,True,REGULAR,USD
AAPL251226C00235000,2025-11-24 18:57:51+00:00,235.0,43.05,41.7,42.7,4.369999,11.297825,26.0,121,0.43604079589843747,True,REGULAR,USD
AAPL251226C00240000,2025-11-24 20:46:51+00:00,240.0,38.42,36.75,38.95,3.6599998,10.529345,86.0,119,0.4660697924804688,True,REGULAR,USD
AAPL251226C00245000,2025-11-24 20:34:46+00:00,245.0,33.28,31.85,32.55,3.6999989,12.508448,6.0,79,0.3413151806640625,True,REGULAR,USD
AAPL251226C00250000,2025-11-24 20:46:51+00:00,250.0,28.95,27.35,28.4,4.25,17.206478,15.0,196,0.34448897705078124,True,REGULAR,USD
AAPL251226C00255000,2025-11-24 19:36:10+00:00,255.0,23.5,23.35,23.4,2.7800007,13.416992,67.0,69,0.2981637567138671,True,REGULAR,USD
AAPL251226C00260000,2025-11-24 20:35:47+00:00,260.0,19.95,18.7,19.5,3.8500004,23.913044,30.0,168,0.2954172021484375,True,REGULAR,USD
AAPL251226C00265000,2025-11-24 19:11:01+00:00,265.0,15.5,14.8,15.05,3.1499996,25.50607,190.0,1589,0.26197027099609377,True,REGULAR,USD
AAPL251226C00270000,2025-11-24 21:01:42+00:00,270.0,11.35,11.3,11.25,2.1900005,23.908304,320.0,899,0.2425612854003906,True,REGULAR,USD
AAPL251226C00275000,2025-11-24 21:01:42+00:00,275.0,8.18,8.1,8.1,1.5800004,23.939402,924.0,1367,0.2309647216796875,True,REGULAR,USD
AAPL251226C00280000,2025-11-24 20:59:22+00:00,280.0,5.65,5.5,5.6,1.1500001,25.555557,537.0,715,0.22382367980957027,False,REGULAR,USD
AAPL251226C00285000,2025-11-24 20:59:57+00:00,285.0,3.55,3.5,3.6,0.75,26.785715,474.0,1150,0.2156450506591797,False,REGULAR,USD
AAPL251226C00290000,2025-11-24 20:57:12+00:00,290.0,2.12,2.12,2.15,0.40999985,23.976599,487.0,1741,0.20832090515136714,False,REGULAR,USD
AAPL251226C00295000,2025-11-24 21:01:42+00:00,295.0,1.24,1.13,1.23,0.26,26.530611,490.0,652,0.20429262512207028,False,REGULAR,USD
AAPL251226C00300000,2025-11-24 20:56:11+00:00,300.0,0.65,0.63,0.68,0.089999974,16.071423,510.0,519,0.20252262329101559,False,REGULAR,USD
AAPL251226C00305000,2025-11-24 20:39:27+00:00,305.0,0.32,0.31,0.38,0.01999998,6.66666,793.0,446,0.20386538330078124,False,REGULAR,USD
AAPL251226C00310000,2025-11-24 20:05:38+00:00,310.0,0.21,0.15,0.23,0.0,0.0,70.0,204,0.20899228515624996,False,REGULAR,USD
AAPL251226C00315000,2025-11-24 20:23:04+00:00,315.0,0.14,0.08,0.14,0.04,40.0,60.0,1116,0.21436332519531248,False,REGULAR,USD
AAPL251226C00320000,2025-11-24 18:49:17+00:00,320.0,0.07,0.04,0.1,0.0,0.0,7.0,29,0.22461712890624996,False,REGULAR,USD
AAPL251226C00325000,2025-11-24 15:17:22+00:00,325.0,0.03,0.02,0.07,-0.01,-25.0,3.0,220,0.233406103515625,False,REGULAR,USD
AAPL251226C00330000,2025-11-24 20:32:23+00:00,330.0,0.02,0.02,0.05,-0.02,-50.0,156.0,127,0.242195078125,False,REGULAR,USD
AAPL251226C00335000,2025-11-19 15:29:18+00:00,335.0,0.03,0.0,0.07,0.0,0.0,1.0,30,0.270515107421875,False,REGULAR,USD
AAPL251226C00340000,2025-11-14 17:18:05+00:00,340.0,0.11,0.0,0.06,0.0,0.0,1.0,22,0.28321029296874994,False,REGULAR,USD
AAPL251226C00345000,2025-11-14 19:49:57+00:00,345.0,0.04,0.0,0.05,0.0,0.0,,1,0.29395237304687494,False,REGULAR,USD
AAPL251226C00350000,2025-11-14 19:43:27+00:00,350.0,0.02,0.0,0.06,0.0,0.0,,1,0.31641308593749995,False,REGULAR,USD
AAPL251226C00355000,2025-11-17 18:37:52+00:00,355.0,0.04,0.0,0.05,0.0,0.0,1.0,11,0.32617861328125,False,REGULAR,USD
AAPL251226C00360000,2025-11-17 18:37:52+00:00,360.0,0.01,0.0,0.05,0.0,0.0,,1,0.34180345703125,False,REGULAR,USD
AAPL251226C00365000,2025-11-19 17:26:44+00:00,365.0,0.02,0.0,0.05,0.0,0.0,,1,0.35742830078125,False,REGULAR,USD
AAPL251226C00380000,2025-11-18 20:32:44+00:00,380.0,0.02,0.0,0.04,0.0,0.0,,8,0.39453730468750003,False,REGULAR,USD
AAPL251226C00400000,2025-11-14 17:42:59+00:00,400.0,0.03,0.0,0.04,0.0,0.0,,1,0.44922425781249997,False,REGULAR,USD
