contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL251128C00110000,2025-11-24 19:05:02+00:00,110.0,166.22,164.85,167.2,5.2700043,3.2743115,6.0,8,3.0781273046874995,True,REGULAR,USD
AAPL251128C00120000,2025-11-05 17:41:07+00:00,120.0,150.8,154.9,157.35,0.0,0.0,,6,3.0351586621093753,True,REGULAR,USD
AAPL251128C00125000,2025-11-05 17:54:19+00:00,125.0,145.77,149.9,152.35,0.0,0.0,,2,2.8945340136718753,True,REGULAR,USD
AAPL251128C00130000,2025-11-06 15:22:28+00:00,130.0,141.01,144.9,147.35,0.0,0.0,,5,2.761721845703125,True,REGULAR,USD
AAPL251128C00135000,2025-11-24 19:12:33+00:00,135.0,140.97,139.9,142.35,5.1600037,3.7994285,1.0,2,2.6347690380859374,True,REGULAR,USD
AAPL251128C00140000,2025-11-05 17:45:00+00:00,140.0,130.7,134.9,137.35,0.0,0.0,,8,2.5117224707031247,True,REGULAR,USD
AAPL251128C00145000,2025-11-24 19:12:33+00:00,145.0,131.03,129.9,132.2,1.25,0.96316844,1.0,2,2.2617230957031245,True,REGULAR,USD
AAPL251128C00150000,2025-11-24 20:59:58+00:00,150.0,126.1,124.9,127.35,4.9000015,4.042906,1.0,1,2.2773480566406246,True,REGULAR,USD
AAPL251128C00155000,2025-11-24 20:59:58+00:00,155.0,121.16,119.9,122.4,7.840004,6.918464,1.0,3,2.1992232519531245,True,REGULAR,USD
AAPL251128C00160000,2025-11-05 17:25:01+00:00,160.0,109.91,114.9,117.4,0.0,0.0,68.0,10,2.0898485253906243,True,REGULAR,USD
AAPL251128C00170000,2025-11-21 18:54:04+00:00,170.0,102.86,104.9,107.4,0.0,0.0,2.0,3,1.8789068554687498,True,REGULAR,USD
AAPL251128C00175000,2025-10-30 16:55:03+00:00,175.0,96.85,99.9,102.25,0.0,0.0,,1,1.685548447265625,True,REGULAR,USD
AAPL251128C00180000,2025-11-18 14:59:32+00:00,180.0,87.46,94.95,97.4,0.0,0.0,2.0,2,1.703126484375,True,REGULAR,USD
AAPL251128C00185000,2025-11-21 16:16:03+00:00,185.0,85.67,90.1,92.35,0.0,0.0,1.0,5,1.6494158154296876,True,REGULAR,USD
AAPL251128C00190000,2025-11-21 15:28:57+00:00,190.0,80.15,84.95,87.25,0.0,0.0,1.0,8,1.439455927734375,True,REGULAR,USD
AAPL251128C00195000,2025-11-19 17:21:13+00:00,195.0,75.43,79.95,82.4,0.0,0.0,2.0,5,1.4179716601562502,True,REGULAR,USD
AAPL251128C00200000,2025-11-21 14:54:16+00:00,200.0,68.77,74.95,77.25,0.0,0.0,10.0,101,1.26172244140625,True,REGULAR,USD
AAPL251128C00205000,2025-11-24 14:51:40+00:00,205.0,69.2,69.95,72.4,4.199997,6.4615335,1.0,13,1.2382850585937497,True,REGULAR,USD
AAPL251128C00210000,2025-11-24 17:57:14+00:00,210.0,65.41,65.35,67.0,2.7300034,4.3554616,3.0,105,1.150394873046875,True,REGULAR,USD
AAPL251128C00215000,2025-11-24 19:14:15+00:00,215.0,61.07,59.95,62.4,5.239998,9.385631,4.0,64,1.0644578027343752,True,REGULAR,USD
AAPL251128C00220000,2025-11-24 19:10:41+00:00,220.0,56.45,54.95,57.4,3.5699997,6.751134,12.0,187,0.9785158398437501,True,REGULAR,USD
AAPL251128C00222500,2025-11-19 15:54:49+00:00,222.5,50.35,52.45,54.95,0.0,0.0,10.0,11,0.9511723632812499,True,REGULAR,USD
AAPL251128C00225000,2025-11-24 19:14:15+00:00,225.0,51.13,50.55,51.45,4.3700027,9.345601,1.0,264,0.75586181640625,True,REGULAR,USD
AAPL251128C00227500,2025-11-21 20:30:10+00:00,227.5,44.58,47.45,49.95,0.0,0.0,18.0,18,0.867188828125,True,REGULAR,USD
AAPL251128C00230000,2025-11-24 17:24:37+00:00,230.0,45.25,45.0,47.3,4.540001,11.152054,14.0,288,0.79883013671875,True,REGULAR,USD
AAPL251128C00232500,2025-11-21 20:21:12+00:00,232.5,39.8,42.5,44.8,0.0,0.0,801.0,808,0.7578149218750001,True,REGULAR,USD
AAPL251128C00235000,2025-11-24 18:41:19+00:00,235.0,41.19,40.3,42.25,4.9399986,13.627583,25.0,339,0.7744163183593751,True,REGULAR,USD
AAPL251128C00237500,2025-11-24 17:41:28+00:00,237.5,37.47,37.75,39.95,3.0900002,8.987783,2.0,225,0.7597680273437502,True,REGULAR,USD
AAPL251128C00240000,2025-11-24 19:37:36+00:00,240.0,36.4,35.75,36.35,5.1400013,16.442741,145.0,1720,0.5810588769531251,True,REGULAR,USD
AAPL251128C00242500,2025-11-24 20:13:04+00:00,242.5,34.06,32.5,34.95,4.6600018,15.850347,15.0,66,0.6289099609375001,True,REGULAR,USD
AAPL251128C00245000,2025-11-24 20:13:04+00:00,245.0,31.65,30.65,31.2,5.539999,21.217918,159.0,628,0.57812921875,True,REGULAR,USD
AAPL251128C00247500,2025-11-24 19:32:25+00:00,247.5,28.82,27.5,30.0,4.779999,19.883522,4.0,214,0.5546919531250001,True,REGULAR,USD
AAPL251128C00250000,2025-11-24 20:39:00+00:00,250.0,27.07,25.3,26.7,5.449999,25.208134,79.0,2314,0.6235389208984375,True,REGULAR,USD
AAPL251128C00252500,2025-11-24 19:31:08+00:00,252.5,23.8,22.55,24.95,4.299999,22.05128,11.0,128,0.6992217578125001,True,REGULAR,USD
AAPL251128C00255000,2025-11-24 20:44:00+00:00,255.0,21.02,20.8,21.1,5.0,31.210985,125.0,4391,0.379889013671875,True,REGULAR,USD
AAPL251128C00257500,2025-11-24 19:46:51+00:00,257.5,18.85,18.1,19.5,4.88,34.931995,40.0,359,0.526371923828125,True,REGULAR,USD
AAPL251128C00260000,2025-11-24 20:54:50+00:00,260.0,16.15,15.85,16.15,4.049999,33.47107,132.0,2462,0.31690136230468746,True,REGULAR,USD
AAPL251128C00262500,2025-11-24 20:44:37+00:00,262.5,13.77,13.35,13.65,3.7800007,37.837845,131.0,630,0.2758861474609374,True,REGULAR,USD
AAPL251128C00265000,2025-11-24 20:57:06+00:00,265.0,11.25,11.15,11.25,3.3899999,43.12977,815.0,4722,0.2553785400390626,True,REGULAR,USD
AAPL251128C00267500,2025-11-24 20:54:31+00:00,267.5,8.7,8.75,8.8,2.6599998,44.039734,1003.0,2311,0.21826953613281247,True,REGULAR,USD
AAPL251128C00270000,2025-11-24 20:58:34+00:00,270.0,6.52,6.5,6.6,2.1999998,50.92592,4666.0,12543,0.20813780151367184,True,REGULAR,USD
AAPL251128C00272500,2025-11-24 21:01:41+00:00,272.5,4.7,4.7,4.55,1.8099997,62.629745,11303.0,9192,0.19312330322265625,True,REGULAR,USD
AAPL251128C00275000,2025-11-24 21:01:42+00:00,275.0,2.92,2.92,2.83,1.1500001,64.971756,49178.0,19067,0.18201501586914062,True,REGULAR,USD
AAPL251128C00277500,2025-11-24 21:01:40+00:00,277.5,1.79,1.6,1.56,0.81999993,84.53607,57886.0,11328,0.17505707763671874,False,REGULAR,USD
AAPL251128C00280000,2025-11-24 21:01:42+00:00,280.0,0.77,0.77,0.73,0.26999998,53.999996,86417.0,27037,0.16895362304687503,False,REGULAR,USD
AAPL251128C00282500,2025-11-24 21:01:41+00:00,282.5,0.33,0.32,0.29,0.110000014,50.000008,25038.0,7688,0.165047412109375,False,REGULAR,USD
AAPL251128C00285000,2025-11-24 21:01:41+00:00,285.0,0.12,0.11,0.11,0.009999998,9.090907,17458.0,10130,0.16651224121093755,False,REGULAR,USD
AAPL251128C00287500,2025-11-24 20:59:53+00:00,287.5,0.04,0.04,0.05,-0.02,-33.333336,8362.0,3295,0.1757894921875,False,REGULAR,USD
AAPL251128C00290000,2025-11-24 21:01:39+00:00,290.0,0.02,0.01,0.03,-0.01,-33.333336,6247.0,6998,0.1914143359375,False,REGULAR,USD
AAPL251128C00292500,2025-11-24 20:54:36+00:00,292.5,0.01,0.01,0.02,-0.02,-66.66667,1311.0,1298,0.20899228515624996,False,REGULAR,USD
AAPL251128C00295000,2025-11-24 20:42:02+00:00,295.0,0.02,0.01,0.02,0.0,0.0,1724.0,5135,0.23438265625,False,REGULAR,USD
AAPL251128C00297500,2025-11-24 20:24:38+00:00,297.5,0.01,0.0,0.01,0.0,0.0,233.0,300,0.242195078125,False,REGULAR,USD
AAPL251128C00300000,2025-11-24 20:43:46+00:00,300.0,0.01,0.0,0.01,0.0,0.0,1668.0,5017,0.26563234375,False,REGULAR,USD
AAPL251128C00302500,2025-11-24 14:33:43+00:00,302.5,0.01,0.0,0.01,0.0,0.0,42.0,389,0.2890696093749999,False,REGULAR,USD
AAPL251128C00305000,2025-11-24 16:50:09+00:00,305.0,0.01,0.0,0.01,0.0,0.0,116.0,1145,0.31250687499999996,False,REGULAR,USD
AAPL251128C00307500,2025-11-24 14:34:27+00:00,307.5,0.01,0.0,0.01,0.0,0.0,20.0,46,0.335944140625,False,REGULAR,USD
AAPL251128C00310000,2025-11-24 14:30:04+00:00,310.0,0.01,0.0,0.01,0.0,0.0,5.0,783,0.35938140625,False,REGULAR,USD
AAPL251128C00312500,2025-11-19 16:33:09+00:00,312.5,0.01,0.0,0.01,0.0,0.0,16.0,35,0.38281867187499996,False,REGULAR,USD
AAPL251128C00315000,2025-11-20 17:58:01+00:00,315.0,0.01,0.0,0.01,0.0,0.0,7.0,486,0.398443515625,False,REGULAR,USD
AAPL251128C00317500,2025-11-14 17:38:51+00:00,317.5,0.02,0.0,0.01,0.0,0.0,,1,0.42188078125,False,REGULAR,USD
AAPL251128C00320000,2025-11-21 15:48:59+00:00,320.0,0.01,0.0,0.01,0.0,0.0,70.0,2770,0.445318046875,False,REGULAR,USD
AAPL251128C00322500,2025-11-12 16:11:46+00:00,322.5,0.03,0.0,0.01,0.0,0.0,,10,0.4687553125,False,REGULAR,USD
AAPL251128C00325000,2025-11-18 14:34:28+00:00,325.0,0.01,0.0,0.01,0.0,0.0,1.0,343,0.48438015625,False,REGULAR,USD
AAPL251128C00330000,2025-11-17 14:49:11+00:00,330.0,0.01,0.0,0.01,0.0,0.0,6.0,721,0.500005,False,REGULAR,USD
AAPL251128C00335000,2025-11-10 20:55:56+00:00,335.0,0.01,0.0,0.01,0.0,0.0,76.0,80,0.5312546875,False,REGULAR,USD
AAPL251128C00340000,2025-11-24 15:24:09+00:00,340.0,0.01,0.0,0.01,0.0,0.0,14.0,416,0.5625043750000001,False,REGULAR,USD
AAPL251128C00345000,2025-11-13 16:27:40+00:00,345.0,0.01,0.0,0.01,0.0,0.0,3.0,99,0.6093789062500001,False,REGULAR,USD
AAPL251128C00350000,2025-11-07 20:46:13+00:00,350.0,0.01,0.0,0.01,0.0,0.0,47.0,560,0.64062859375,False,REGULAR,USD
AAPL251128C00355000,2025-11-21 19:44:54+00:00,355.0,0.01,0.0,0.01,0.0,0.0,1.0,20,0.6875031250000001,False,REGULAR,USD
AAPL251128C00360000,2025-11-18 15:30:55+00:00,360.0,0.01,0.0,0.01,0.0,0.0,1.0,51,0.7187528125,False,REGULAR,USD
AAPL251128C00365000,2025-10-31 19:20:50+00:00,365.0,0.01,0.0,0.01,0.0,0.0,5.0,5,0.7500025,False,REGULAR,USD
AAPL251128C00370000,2025-11-05 16:24:29+00:00,370.0,0.01,0.0,0.01,0.0,0.0,100.0,101,0.7812521875,False,REGULAR,USD
AAPL251128C00375000,2025-11-05 14:34:46+00:00,375.0,0.01,0.0,0.01,0.0,0.0,3.0,5,0.8125018749999999,False,REGULAR,USD
AAPL251128C00395000,2025-11-07 20:25:10+00:00,395.0,0.01,0.0,0.01,0.0,0.0,1.0,1,0.937500625,False,REGULAR,USD
AAPL251128C00400000,2025-11-24 20:30:24+00:00,400.0,0.01,0.0,0.01,0.0,0.0,36.0,33,0.9687503125,False,REGULAR,USD
