contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL251226P00120000,2025-11-14 14:57:17+00:00,120.0,0.02,0.0,0.04,0.0,0.0,,1,0.929688203125,False,REGULAR,USD
AAPL251226P00130000,2025-11-21 15:08:52+00:00,130.0,0.02,0.0,0.04,0.0,0.0,8.0,44,0.8437515624999999,False,REGULAR,USD
AAPL251226P00145000,2025-11-20 20:51:13+00:00,145.0,0.04,0.0,0.04,0.0,0.0,199.0,202,0.726565234375,False,REGULAR,USD
AAPL251226P00150000,2025-11-13 20:34:27+00:00,150.0,0.02,0.0,0.05,0.0,0.0,,10,0.70312796875,False,REGULAR,USD
AAPL251226P00155000,2025-11-20 19:30:58+00:00,155.0,0.03,0.0,0.06,0.0,0.0,1.0,101,0.6796907031250001,False,REGULAR,USD
AAPL251226P00170000,2025-11-19 20:27:50+00:00,170.0,0.03,0.0,0.07,0.0,0.0,,13,0.585941640625,False,REGULAR,USD
AAPL251226P00180000,2025-11-21 19:29:13+00:00,180.0,0.07,0.01,0.09,0.0,0.0,1.0,1,0.5429733203125001,False,REGULAR,USD
AAPL251226P00185000,2025-11-21 20:41:58+00:00,185.0,0.1,0.02,0.1,0.0,0.0,2.0,2,0.5214891601562499,False,REGULAR,USD
AAPL251226P00190000,2025-11-24 16:05:33+00:00,190.0,0.06,0.03,0.11,-0.02,-25.0,1.0,60,0.52539537109375,False,REGULAR,USD
AAPL251226P00195000,2025-11-21 16:59:21+00:00,195.0,0.17,0.05,0.11,0.0,0.0,9.0,19,0.49219257812500006,False,REGULAR,USD
AAPL251226P00200000,2025-11-24 20:05:19+00:00,200.0,0.09,0.06,0.13,-0.06999999,-43.749996,2.0,108,0.46973186523437505,False,REGULAR,USD
AAPL251226P00205000,2025-11-24 19:28:30+00:00,205.0,0.12,0.09,0.16,-0.1,-45.454544,20.0,71,0.450200810546875,False,REGULAR,USD
AAPL251226P00210000,2025-11-24 17:28:25+00:00,210.0,0.17,0.12,0.16,-0.14999999,-46.874996,14.0,150,0.41797457031249996,False,REGULAR,USD
AAPL251226P00215000,2025-11-24 17:35:28+00:00,215.0,0.2,0.15,0.21,-0.08,-28.571428,16.0,105,0.4018614501953125,False,REGULAR,USD
