contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL251205C00110000,2025-11-05 16:27:26+00:00,110.0,160.42,164.5,167.3,0.0,0.0,,1,2.874026252441406,True,REGULAR,USD
AAPL251205C00120000,2025-11-05 16:30:23+00:00,120.0,150.51,154.5,157.45,0.0,0.0,,1,1.6875015625,True,REGULAR,USD
AAPL251205C00130000,2025-11-05 16:31:41+00:00,130.0,140.54,144.5,147.5,0.0,0.0,,0,1.5976582617187498,True,REGULAR,USD
AAPL251205C00140000,2025-11-05 16:30:23+00:00,140.0,130.59,134.5,137.35,0.0,0.0,,1,1.125004375,True,REGULAR,USD
AAPL251205C00150000,2025-11-18 19:10:17+00:00,150.0,119.14,124.5,126.35,0.0,0.0,1.0,3,1.6308612207031248,True,REGULAR,USD
AAPL251205C00160000,2025-11-04 16:37:36+00:00,160.0,111.66,114.35,117.55,0.0,0.0,,0,1.0703171484375003,True,REGULAR,USD
AAPL251205C00165000,2025-11-20 19:08:25+00:00,165.0,101.75,109.5,112.55,0.0,0.0,1.0,2,1.158207333984375,True,REGULAR,USD
AAPL251205C00170000,2025-11-21 18:54:04+00:00,170.0,103.03,104.5,107.4,0.0,0.0,2.0,2,0.9570316796874999,True,REGULAR,USD
AAPL251205C00175000,2025-11-03 17:24:16+00:00,175.0,93.39,99.5,102.55,0.0,0.0,,1,1.0371141894531253,True,REGULAR,USD
AAPL251205C00180000,2025-11-20 20:11:16+00:00,180.0,87.74,94.5,97.4,0.0,0.0,,1,0.851563984375,True,REGULAR,USD
AAPL251205C00185000,2025-11-21 16:16:03+00:00,185.0,85.83,89.5,91.35,0.0,0.0,1.0,11,1.123051259765625,True,REGULAR,USD
AAPL251205C00190000,2025-11-20 15:22:08+00:00,190.0,84.18,84.5,87.4,0.0,0.0,1.0,14,0.7500025,True,REGULAR,USD
AAPL251205C00195000,2025-11-24 18:03:36+00:00,195.0,80.39,80.2,81.95,1.5899963,2.0177617,6.0,8,0.8535170898437501,True,REGULAR,USD
AAPL251205C00200000,2025-11-21 16:34:13+00:00,200.0,71.0,74.5,77.6,0.0,0.0,6.0,58,0.77929908203125,True,REGULAR,USD
AAPL251205C00205000,2025-11-21 18:12:02+00:00,205.0,66.17,69.45,72.45,0.0,0.0,1.0,5,0.6093789062500001,True,REGULAR,USD
AAPL251205C00210000,2025-11-24 18:30:37+00:00,210.0,66.41,65.55,67.35,3.380005,5.3625336,6.0,53,0.8388687988281249,True,REGULAR,USD
AAPL251205C00215000,2025-11-21 20:36:51+00:00,215.0,57.97,59.5,62.5,0.0,0.0,20.0,184,0.5839885351562499,True,REGULAR,USD
AAPL251205C00220000,2025-11-24 20:10:47+00:00,220.0,56.75,54.65,57.5,5.619999,10.991588,1.0,317,0.585941640625,True,REGULAR,USD
AAPL251205C00225000,2025-11-21 20:55:11+00:00,225.0,46.59,49.55,51.95,0.0,0.0,33.0,176,0.7563500927734376,True,REGULAR,USD
AAPL251205C00230000,2025-11-24 18:24:05+00:00,230.0,46.48,45.15,47.7,4.279999,10.142177,5.0,167,0.5932657861328126,True,REGULAR,USD
AAPL251205C00235000,2025-11-24 20:23:55+00:00,235.0,42.09,40.9,42.1,4.8199997,12.932652,16.0,313,0.5505416040039064,True,REGULAR,USD
AAPL251205C00240000,2025-11-24 20:19:30+00:00,240.0,37.04,35.7,36.8,3.6399994,10.898201,10.0,540,0.5407760766601564,True,REGULAR,USD
AAPL251205C00245000,2025-11-24 15:12:41+00:00,245.0,28.34,29.95,32.25,1.7199993,6.4613047,2.0,321,0.5334519311523438,True,REGULAR,USD
AAPL251205C00247500,2025-11-24 20:31:00+00:00,247.5,29.55,28.05,29.85,4.3499985,17.261898,11.0,8,0.5105029418945313,True,REGULAR,USD
AAPL251205C00250000,2025-11-24 17:57:35+00:00,250.0,25.89,25.9,27.2,3.9499989,18.003641,33.0,180,0.4606987524414063,True,REGULAR,USD
AAPL251205C00252500,2025-11-24 17:22:41+00:00,252.5,23.45,22.75,24.75,2.8500004,13.834952,19.0,55,0.4318904467773438,True,REGULAR,USD
AAPL251205C00255000,2025-11-24 20:19:10+00:00,255.0,22.1,20.85,22.4,2.7700005,14.33006,42.0,276,0.4116269775390625,True,REGULAR,USD
AAPL251205C00257500,2025-11-24 18:12:14+00:00,257.5,19.07,18.6,19.65,3.0,18.668327,172.0,482,0.3540103662109374,True,REGULAR,USD
AAPL251205C00260000,2025-11-24 20:37:20+00:00,260.0,16.95,16.7,16.8,3.9500008,30.38462,369.0,557,0.2869944348144531,True,REGULAR,USD
AAPL251205C00262500,2025-11-24 16:15:58+00:00,262.5,15.07,14.5,14.6,4.1499996,38.00366,11.0,1661,0.280158565673828,True,REGULAR,USD
AAPL251205C00265000,2025-11-24 20:05:58+00:00,265.0,12.88,12.05,12.25,3.4800005,37.021286,211.0,996,0.25586681640625003,True,REGULAR,USD
AAPL251205C00267500,2025-11-24 20:30:03+00:00,267.5,10.4,10.05,10.1,3.0499997,41.496593,218.0,779,0.24158473266601563,True,REGULAR,USD
AAPL251205C00270000,2025-11-24 20:58:09+00:00,270.0,8.15,8.1,8.15,2.4899998,43.992928,1980.0,3099,0.23279575805664063,True,REGULAR,USD
AAPL251205C00272500,2025-11-24 20:58:34+00:00,272.5,6.32,6.3,6.35,1.8000002,39.823013,2337.0,1735,0.22339643798828124,True,REGULAR,USD
AAPL251205C00275000,2025-11-24 21:01:39+00:00,275.0,4.8,4.75,4.8,1.4000001,41.176476,5709.0,4676,0.21704884521484374,True,REGULAR,USD
AAPL251205C00277500,2025-11-24 21:01:42+00:00,277.5,3.5,3.5,3.45,1.1700001,50.214596,7230.0,784,0.20948056152343747,False,REGULAR,USD
AAPL251205C00280000,2025-11-24 21:01:42+00:00,280.0,2.34,2.32,2.32,0.7099999,43.558277,7399.0,14160,0.20069158691406247,False,REGULAR,USD
AAPL251205C00282500,2025-11-24 21:01:39+00:00,282.5,1.49,1.49,1.49,0.54,56.84211,3788.0,2028,0.1948322705078125,False,REGULAR,USD
AAPL251205C00285000,2025-11-24 20:59:40+00:00,285.0,0.91,0.9,0.9,0.27000004,42.187508,7798.0,8274,0.18994950683593753,False,REGULAR,USD
AAPL251205C00287500,2025-11-24 21:01:39+00:00,287.5,0.57,0.51,0.52,0.19,50.0,1699.0,1157,0.18677571044921876,False,REGULAR,USD
AAPL251205C00290000,2025-11-24 21:01:39+00:00,290.0,0.3,0.28,0.3,0.08000001,36.36364,2297.0,4580,0.186531572265625,False,REGULAR,USD
AAPL251205C00292500,2025-11-24 20:58:57+00:00,292.5,0.16,0.17,0.17,0.030000001,23.076923,821.0,2519,0.187508125,False,REGULAR,USD
AAPL251205C00295000,2025-11-24 21:01:38+00:00,295.0,0.1,0.09,0.1,0.0,0.0,717.0,2782,0.19043778320312502,False,REGULAR,USD
AAPL251205C00297500,2025-11-24 20:52:52+00:00,297.5,0.06,0.05,0.07,0.0,0.0,128.0,191,0.1992267578125,False,REGULAR,USD
AAPL251205C00300000,2025-11-24 20:54:00+00:00,300.0,0.05,0.04,0.05,0.010000002,25.000004,5240.0,3164,0.20801573242187496,False,REGULAR,USD
AAPL251205C00305000,2025-11-24 19:31:53+00:00,305.0,0.03,0.02,0.03,0.01,50.0,129.0,1445,0.22852333984375,False,REGULAR,USD
AAPL251205C00310000,2025-11-24 19:23:40+00:00,310.0,0.02,0.01,0.02,0.01,100.0,181.0,1439,0.24805439453125,False,REGULAR,USD
AAPL251205C00315000,2025-11-24 18:55:11+00:00,315.0,0.01,0.01,0.02,-0.01,-50.0,52.0,1715,0.27735097656249996,False,REGULAR,USD
AAPL251205C00320000,2025-11-24 16:08:41+00:00,320.0,0.02,0.0,0.01,0.01,100.0,1.0,2458,0.2890696093749999,False,REGULAR,USD
AAPL251205C00325000,2025-11-24 18:26:33+00:00,325.0,0.01,0.0,0.02,0.0,0.0,5.0,210,0.335944140625,False,REGULAR,USD
AAPL251205C00330000,2025-11-18 19:30:55+00:00,330.0,0.01,0.0,0.01,0.0,0.0,5.0,184,0.3398503515625,False,REGULAR,USD
AAPL251205C00335000,2025-11-21 16:54:18+00:00,335.0,0.01,0.0,0.01,0.0,0.0,2.0,21,0.367193828125,False,REGULAR,USD
AAPL251205C00340000,2025-11-05 19:39:06+00:00,340.0,0.03,0.0,0.01,0.0,0.0,5.0,45,0.39063109375,False,REGULAR,USD
AAPL251205C00345000,2025-11-07 14:59:34+00:00,345.0,0.02,0.0,0.01,0.0,0.0,2.0,106,0.414068359375,False,REGULAR,USD
AAPL251205C00350000,2025-11-13 20:08:27+00:00,350.0,0.02,0.0,0.01,0.0,0.0,1.0,24,0.437505625,False,REGULAR,USD
AAPL251205C00355000,2025-10-31 18:29:05+00:00,355.0,0.01,0.0,0.01,0.0,0.0,2.0,4,0.46094289062500005,False,REGULAR,USD
AAPL251205C00360000,2025-10-29 15:30:29+00:00,360.0,0.04,0.0,0.01,0.0,0.0,1.0,1,0.48438015625,False,REGULAR,USD
AAPL251205C00370000,2025-11-21 16:51:34+00:00,370.0,0.01,0.0,0.01,0.0,0.0,2.0,2,0.500005,False,REGULAR,USD
AAPL251205C00375000,2025-11-12 18:24:13+00:00,375.0,0.01,0.0,0.01,0.0,0.0,1.0,2,0.51562984375,False,REGULAR,USD
AAPL251205C00380000,2025-10-31 16:40:34+00:00,380.0,0.04,0.0,0.01,0.0,0.0,1.0,3,0.5468795312500001,False,REGULAR,USD
AAPL251205C00385000,2025-11-06 18:54:09+00:00,385.0,0.01,0.0,0.01,0.0,0.0,,1,0.5625043750000001,False,REGULAR,USD
AAPL251205C00390000,2025-11-24 19:42:50+00:00,390.0,0.01,0.0,0.01,-0.02,-66.66667,4.0,0,0.57812921875,False,REGULAR,USD
AAPL251205C00400000,2025-11-20 19:16:40+00:00,400.0,0.01,0.0,0.01,0.0,0.0,,1,0.6250037500000001,False,REGULAR,USD
