contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL251212C00120000,2025-11-14 19:27:23+00:00,120.0,154.48,154.5,157.4,0.0,0.0,,1,1.2656286718749998,True,REGULAR,USD
AAPL251212C00150000,2025-11-10 15:14:08+00:00,150.0,123.47,124.5,127.65,0.0,0.0,,1,1.126957490234375,True,REGULAR,USD
AAPL251212C00160000,2025-11-21 20:55:00+00:00,160.0,112.0,114.95,117.65,0.0,0.0,1.0,2,1.150394873046875,True,REGULAR,USD
AAPL251212C00170000,2025-11-13 15:16:53+00:00,170.0,105.25,105.0,107.7,0.0,0.0,1.0,1,1.0561570629882815,True,REGULAR,USD
AAPL251212C00190000,2025-11-20 15:42:15+00:00,190.0,85.0,84.6,87.75,0.0,0.0,1.0,1,0.7753928710937501,True,REGULAR,USD
AAPL251212C00195000,2025-11-24 17:04:46+00:00,195.0,80.68,80.1,82.75,-0.76999664,-0.9453612,2.0,3,0.8110370458984374,True,REGULAR,USD
AAPL251212C00200000,2025-11-20 14:35:48+00:00,200.0,73.95,74.65,77.8,0.0,0.0,,7,0.6992217578125001,True,REGULAR,USD
AAPL251212C00205000,2025-11-21 15:24:12+00:00,205.0,65.67,69.65,72.85,0.0,0.0,1.0,2,0.6611362011718751,True,REGULAR,USD
AAPL251212C00210000,2025-11-24 18:30:37+00:00,210.0,66.6,64.75,67.6,8.239998,14.119255,6.0,127,0.5898478515625001,True,REGULAR,USD
AAPL251212C00215000,2025-11-24 16:58:06+00:00,215.0,60.37,60.45,62.9,3.4699974,6.098414,1.0,4,0.6618686157226563,True,REGULAR,USD
AAPL251212C00220000,2025-11-21 20:22:06+00:00,220.0,53.0,55.35,57.95,0.0,0.0,6.0,99,0.6071816625976563,True,REGULAR,USD
AAPL251212C00225000,2025-11-24 16:04:00+00:00,225.0,50.0,49.8,52.95,1.0400009,2.1241848,1.0,13,0.507817421875,True,REGULAR,USD
AAPL251212C00230000,2025-11-24 20:57:47+00:00,230.0,46.62,45.0,47.95,4.369999,10.343192,8.0,23,0.6547886083984377,True,REGULAR,USD
AAPL251212C00235000,2025-11-21 19:18:19+00:00,235.0,40.28,40.05,42.75,1.449997,3.7342181,1.0,84,0.5792278405761719,True,REGULAR,USD
AAPL251212C00240000,2025-11-21 19:33:02+00:00,240.0,33.7,35.7,37.4,0.0,0.0,11.0,180,0.49170430175781255,True,REGULAR,USD
AAPL251212C00245000,2025-11-24 15:13:05+00:00,245.0,29.25,30.8,32.95,-0.030000687,-0.10246136,2.0,77,0.481450498046875,True,REGULAR,USD
AAPL251212C00250000,2025-11-24 15:41:23+00:00,250.0,25.1,26.5,27.25,1.8999996,8.189653,35.0,909,0.37036762451171873,True,REGULAR,USD
AAPL251212C00255000,2025-11-24 20:19:10+00:00,255.0,22.7,21.7,22.35,3.3500004,17.312662,21.0,1884,0.32349309326171866,True,REGULAR,USD
AAPL251212C00260000,2025-11-24 20:19:10+00:00,260.0,18.35,17.5,17.7,4.25,30.141844,12.0,379,0.28955788574218744,True,REGULAR,USD
AAPL251212C00265000,2025-11-24 20:44:35+00:00,265.0,13.15,13.2,13.25,2.7999992,27.053133,58.0,1072,0.2580640600585938,True,REGULAR,USD
AAPL251212C00270000,2025-11-24 20:58:32+00:00,270.0,9.42,9.4,9.45,2.3200002,32.67606,331.0,2355,0.24286645812988278,True,REGULAR,USD
AAPL251212C00275000,2025-11-24 20:57:09+00:00,275.0,6.2,6.15,6.2,1.3999996,29.166658,1700.0,2899,0.22846230529785155,True,REGULAR,USD
AAPL251212C00280000,2025-11-24 21:01:42+00:00,280.0,3.65,3.65,3.65,0.9200001,33.699635,3725.0,1916,0.2153398779296875,False,REGULAR,USD
